ATAC_peak	RT	ATAC_OCT4.ON	ATAC_OCT4.OFF
ATAC25454	ES	0.817895	0.570594
ATAC25496	ES	1.40655	1.04843
ATAC25497	ES	4.00534	3.54243
ATAC25498	ES	2.65195	2.7058
ATAC25499	ES	7.64813	6.60675
ATAC25500	ES	1.9731	1.79836
ATAC25501	ES	1.22679	0.673642
ATAC25502	ES	3.38556	3.91726
ATAC25503	ES	3.1115	2.85782
ATAC25508	ES	2.39058	3.08063
ATAC25509	ES	3.02595	2.47637
ATAC25510	ES	0.925309	0.941186
ATAC25511	ES	0.984352	0.665563
ATAC25513	ES	1.18027	1.20039
ATAC25514	ES	1.83824	2.35251
ATAC25515	ES	0.893684	0.95068
ATAC25516	ES	1.23486	0.565177
ATAC25517	ES	1.70947	0.741597
ATAC25518	ES	1.11302	1.01608
ATAC25519	ES	1.04127	0.809546
ATAC25520	ES	2.07815	1.37975
ATAC25521	ES	2.10377	1.91237
ATAC25522	ES	3.64647	4.54175
ATAC25524	ES	1.71922	1.88958
ATAC25525	ES	1.2817	1.24413
ATAC25526	ES	1.12098	1.11866
ATAC25527	ES	1.51353	1.97769
ATAC25528	ES	0.750419	0.543384
ATAC25529	ES	1.60213	1.8445
ATAC25530	ES	1.61046	1.33102
ATAC25531	ES	0.98233	0.858428
ATAC25532	ES	1.43714	1.0482
ATAC25533	ES	1.1931	0.624878
ATAC25534	ES	1.22126	0.967102
ATAC25535	ES	1.5136	0.929165
ATAC25536	ES	0.85996	0.619135
ATAC25537	ES	1.03714	0.97798
ATAC25538	ES	1.42048	0.673702
ATAC25539	ES	2.36526	2.10813
ATAC25540	ES	0.729363	0.740208
ATAC25541	ES	1.82548	2.04287
ATAC25542	ES	1.01486	1.36083
ATAC25543	ES	3.60045	3.07489
ATAC25544	ES	1.48407	0.98066
ATAC25545	ES	1.38685	0.575827
ATAC25546	ES	2.74893	3.2109
ATAC25586	ES	1.23531	1.80927
ATAC25587	ES	1.35756	0.988936
ATAC25588	ES	3.05857	2.29511
ATAC25589	ES	3.77768	2.48331
ATAC25590	ES	1.09176	0.907193
ATAC25740	ES	1.36603	1.9885
ATAC25741	ES	1.37007	2.09114
ATAC25742	ES	0.813708	1.21146
ATAC25743	ES	1.96459	2.46105
ATAC25744	ES	1.47532	1.77084
ATAC25745	ES	1.1888	1.10283
ATAC25746	ES	1.30699	1.5431
ATAC25750	ES	1.28077	1.27594
ATAC25751	ES	1.95937	1.99266
ATAC25752	ES	1.61891	1.91251
ATAC25753	ES	1.18439	0.983041
ATAC25754	ES	1.88885	2.35538
ATAC25755	ES	1.09618	1.26593
ATAC25756	ES	1.41204	1.46129
ATAC25757	ES	1.33928	1.50503
ATAC25758	ES	0.839014	1.37437
ATAC25759	ES	0.982351	1.05407
ATAC25760	ES	0.910667	1.30938
ATAC25761	ES	1.25632	0.983449
ATAC25762	ES	1.49675	1.92881
ATAC25763	ES	0.984943	1.57669
ATAC25764	ES	1.05396	1.32025
ATAC25765	ES	1.11404	1.8714
ATAC25766	ES	2.13758	2.62418
ATAC25767	ES	1.15516	1.34184
ATAC25768	ES	1.82555	2.36894
ATAC25769	ES	1.05182	1.49262
ATAC25770	ES	0.923244	1.04578
ATAC25771	ES	1.66534	2.20042
ATAC25772	ES	1.15521	1.74941
ATAC25774	ES	0.889443	0.988648
